2023-11-16 15:03:51.682 [main] INFO  com.example.demo.SpringApiApplication - Starting SpringApiApplication using Java 17.0.9 with PID 3244446 (/home/e20190003865/Bureau/HAI913I_TP3/SpringAPI/target/classes started by adam.said@etu.umontpellier.fr in /home/e20190003865/Bureau/HAI913I_TP3/SpringAPI)
2023-11-16 15:03:51.692 [main] INFO  com.example.demo.SpringApiApplication - No active profile set, falling back to 1 default profile: "default"
2023-11-16 15:03:52.249 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-11-16 15:03:52.308 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 56 ms. Found 2 MongoDB repository interfaces.
2023-11-16 15:03:52.582 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-11-16 15:03:52.587 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-16 15:03:52.588 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-11-16 15:03:52.588 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2023-11-16 15:03:52.658 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-16 15:03:52.659 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 939 ms
2023-11-16 15:03:52.830 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.9.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "6.2.0-36-generic"}, "platform": "Java/Oracle Corporation/17.0.9+11-LTS-201"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='hai913iSpring', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3bc69ce9, com.mongodb.Jep395RecordCodecProvider@abad89c]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=hai913idb.jm44ngx.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-gf1lt0-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-11-16 15:03:52.843 [cluster-ClusterId{value='65562148df4e58080c7e656d', description='null'}-srv-hai913idb.jm44ngx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kp5st8y-shard-00-00.jm44ngx.mongodb.net:27017 to client view of cluster
2023-11-16 15:03:52.858 [cluster-ClusterId{value='65562148df4e58080c7e656d', description='null'}-srv-hai913idb.jm44ngx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kp5st8y-shard-00-01.jm44ngx.mongodb.net:27017 to client view of cluster
2023-11-16 15:03:52.859 [cluster-ClusterId{value='65562148df4e58080c7e656d', description='null'}-srv-hai913idb.jm44ngx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kp5st8y-shard-00-02.jm44ngx.mongodb.net:27017 to client view of cluster
2023-11-16 15:03:53.235 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-16 15:03:53.243 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-16 15:03:53.247 [main] INFO  com.example.demo.SpringApiApplication - Started SpringApiApplication in 1.817 seconds (process running for 2.546)
2023-11-16 15:03:53.442 [cluster-ClusterId{value='65562148df4e58080c7e656d', description='null'}-ac-kp5st8y-shard-00-01.jm44ngx.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kp5st8y-shard-00-01.jm44ngx.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=341370483, setName='atlas-gf1lt0-shard-0', canonicalAddress=ac-kp5st8y-shard-00-01.jm44ngx.mongodb.net:27017, hosts=[ac-kp5st8y-shard-00-00.jm44ngx.mongodb.net:27017, ac-kp5st8y-shard-00-02.jm44ngx.mongodb.net:27017, ac-kp5st8y-shard-00-01.jm44ngx.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kp5st8y-shard-00-01.jm44ngx.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000107, setVersion=8, topologyVersion=TopologyVersion{processId=65534b557ae9e594656398bf, counter=6}, lastWriteDate=Thu Nov 16 15:03:53 CET 2023, lastUpdateTimeNanos=518365301772600}
